Strategy,Splits,Total Trades,Avg Trades/Split,Avg Win Rate,Avg Return,Median Return,Avg Sharpe,Avg Max DD,Max Max DD,Positive Periods
Baseline,15,47,3.1,44.8%,-1.70%,-3.34%,-21.24,13.99%,28.36%,7/15 (46.7%)
Adaptive,15,88,5.9,48.3%,-2.32%,+4.35%,-17.74,17.78%,49.49%,9/15 (60.0%)
