Date,close,high,low,open,volume
2015-10-07,1995.8299560546875,1999.31005859375,1976.43994140625,1982.3399658203125,4666470000
2015-10-08,2013.4300537109373,2016.5,1987.530029296875,1994.010009765625,3939140000
2015-10-09,2014.8900146484373,2020.1300048828125,2007.6099853515625,2013.72998046875,3706900000
2015-10-12,2017.4599609375,2018.6600341796875,2010.550048828125,2015.6500244140625,2893250000
2015-10-13,2003.68994140625,2022.3399658203125,2001.780029296875,2015.0,3401920000
2015-10-14,1994.239990234375,2009.56005859375,1990.72998046875,2003.6600341796875,3644590000
2015-10-15,2023.8599853515625,2024.1500244140625,1996.469970703125,1996.469970703125,3746290000
2015-10-16,2033.1099853515625,2033.5400390625,2020.4599609375,2024.3699951171875,3595430000
2015-10-19,2033.6600341796875,2034.449951171875,2022.31005859375,2031.72998046875,3287320000
2015-10-20,2030.77001953125,2039.1199951171875,2026.6099853515625,2033.1300048828125,3331500000
2015-10-21,2018.93994140625,2037.969970703125,2017.219970703125,2033.469970703125,3627790000
2015-10-22,2052.510009765625,2055.199951171875,2021.8800048828125,2021.8800048828125,4430850000
2015-10-23,2075.14990234375,2079.739990234375,2058.18994140625,2058.18994140625,4108460000
2015-10-26,2071.179931640625,2075.139892578125,2066.530029296875,2075.080078125,3385800000
2015-10-27,2065.889892578125,2070.3701171875,2058.840087890625,2068.75,4216880000
2015-10-28,2090.35009765625,2090.35009765625,2063.110107421875,2066.47998046875,4698110000
2015-10-29,2089.409912109375,2092.52001953125,2082.6298828125,2088.35009765625,4008940000
2015-10-30,2079.360107421875,2094.320068359375,2079.340087890625,2090.0,4256200000
2015-11-02,2104.050048828125,2106.199951171875,2080.760009765625,2080.760009765625,3760020000
2015-11-03,2109.7900390625,2116.47998046875,2097.510009765625,2102.6298828125,4272060000
2015-11-04,2102.31005859375,2114.590087890625,2096.97998046875,2110.60009765625,4078870000
2015-11-05,2099.929931640625,2108.780029296875,2090.409912109375,2101.679931640625,4051890000
2015-11-06,2099.199951171875,2101.909912109375,2083.739990234375,2098.60009765625,4369020000
2015-11-09,2078.580078125,2096.56005859375,2068.239990234375,2096.56005859375,3882350000
2015-11-10,2081.719970703125,2083.669921875,2069.909912109375,2077.18994140625,3821440000
2015-11-11,2075.0,2086.93994140625,2074.85009765625,2083.409912109375,3692410000
2015-11-12,2045.969970703125,2072.2900390625,2045.6600341796875,2072.2900390625,4016370000
2015-11-13,2023.0400390625,2044.6400146484373,2022.02001953125,2044.6400146484373,4278750000
2015-11-16,2053.18994140625,2053.219970703125,2019.3900146484373,2022.0799560546875,3741240000
2015-11-17,2050.43994140625,2066.68994140625,2045.9000244140625,2053.669921875,4427350000
2015-11-18,2083.580078125,2085.31005859375,2051.989990234375,2051.989990234375,3926390000
2015-11-19,2081.239990234375,2086.739990234375,2078.760009765625,2083.699951171875,3628110000
2015-11-20,2089.169921875,2097.06005859375,2082.820068359375,2082.820068359375,3929600000
2015-11-23,2086.590087890625,2095.610107421875,2081.389892578125,2089.409912109375,3587980000
2015-11-24,2089.139892578125,2094.1201171875,2070.2900390625,2084.419921875,3884930000
2015-11-25,2088.8701171875,2093.0,2086.300048828125,2089.300048828125,2852940000
2015-11-27,2090.110107421875,2093.2900390625,2084.1298828125,2088.820068359375,1466840000
2015-11-30,2080.409912109375,2093.81005859375,2080.409912109375,2090.949951171875,4275030000
2015-12-01,2102.6298828125,2103.3701171875,2082.929931640625,2082.929931640625,3712120000
2015-12-02,2079.510009765625,2104.27001953125,2077.110107421875,2101.7099609375,3950640000
