Model,Train Acc,Val Acc,Val Precision,Val Recall,Val F1
XGBoost,1.0,0.4883720930232558,0.5909090909090909,0.5,0.5416666666666666
RandomForest,0.9658119658119658,0.6511627906976745,0.7037037037037037,0.7307692307692307,0.7169811320754716
GradientBoosting,0.9952516619183286,0.5813953488372093,0.6666666666666666,0.6153846153846154,0.64
LogisticRegression,0.5441595441595442,0.6511627906976745,0.6896551724137931,0.7692307692307693,0.7272727272727273
